event_link,event_link-href,event_title,event_dates,Days,Time,event_admission,event_description,venue_name,venue_address,venue_events_button
"Day of the Dead, Dia de los Muertos","https://atlantaplanit.wabe.org/events/day-of-the-dead-dia-de-los-muertos/","null","null","Sun, Oct 29","12pm – 5pm","Free!","Visitors of all ages learn about and experience a Day of the Dead Festival. Guests enjoy storytelling, crafts, and authentic Mexican food and entertainment. View a display of altars honoring lost family and friends that are decorated with flowers, favorite foods, and beverages.","null","130 West Paces Ferry Rd. NW
ATLANTA, GA 30305",""
"Sensory Friendly Saturdays","https://atlantaplanit.wabe.org/events/sensory-friendly-saturdays/","Sensory Friendly Saturdays","Jan 7 – Dec 2","Sat, Jan 7Sat, Feb 4Sat, Mar 4Sat, Apr 1Sat, May 6Sat, Jun 3Sat, Jul 1Sat, Aug 5Sat, Sep 2Sat, Oct 7Sat, Nov 4Sat, Dec 2","9am – 10am","General Admission$5","The first Saturday of every month, the Museum opens at 9 a.m. for families with children on the autism spectrum. Our piano stairs and other noise will be turned off. Quiet spots will be set up throughout the Museum.","The Children’s Museum of Atlanta","275 Centennial Olympic Park Dr. NW
ATLANTA, GA 30313",""
"Shopkins Live!","https://atlantaplanit.wabe.org/events/shopkins-live-2/","Shopkins Live!","Oct 7","Sat, Oct 7","3pm – 5pm","Single ticket prices range from $25 to $55","Based on America’s #1 toy brand, Youtube sensation and international toy phenomenon created in Australia by Moose Toys, Shopkins Live! features The Shoppies and Shopkins characters taking the stage with an all new storyline, original pop music and video highlights as ‘Jessicake,’ ‘Bubbleisha,’ ‘Peppa-Mint’ and friends prepare for Shopville’s annual “Funtastic Food and Fashion Fair.”","Fox Theatre","660 Peachtree St. NE
ATLANTA, GA 30308",""
"Woofstock","https://atlantaplanit.wabe.org/events/woofstock/","null","May 6 – Oct 1","Sat, May 6Sat, Sep 30","12pm – 7pm","Free!","Woofstock is one of the largest pet adoption events in the southeast (with over 2,500 people) and it features a variety of activities for the whole family (including all family pets) to enjoy! The entertainment includes: live music, dog contests, a kid’s area including inflatables, pet adoptions, pet vendors, arts and crafts, delicious food trucks and ice cold beverages.





Event Locations:


Saturday, 5/6 and Sunday, 5/7 at Suwanee Town Center


330 Town Center Ave


Suwanee, GA 30024





Saturday, 9/30 and Sunday, 10/1 at Smyrna Market Village


1265 W Spring St


Smyrna, GA 30080","null","ATLANTA, GA 30303",""
"The Roswell Lavender Festival","https://atlantaplanit.wabe.org/events/the-roswell-lavender-festival/","null","null","Sat, Jun 10","10am – 5pm","Free!","The Annual Roswell Lavender Festival is inspired by Roswell's Barrington Hall’s own lavender queen, Evelyn Simpson, a descendant of Barrington. The festival is a celebration of all things lavender and will feature the many varieties, uses and folk remedies associated with this ancient plant.","null","535 Barrington Dr.
ROSWELL, GA 30075",""
"Atlanta Streets Alive: Westside","https://atlantaplanit.wabe.org/events/atlanta-streets-alive-westside/","null","null","Sun, Jun 11","4pm – 8pm","Free","The streets of Atlanta come to life on June 11 from 4 p.m. to 8 p.m. as portions of Howell Mill Road and Marietta Street are opened to people on foot, bike, and other human-powered activities, and closed to motorized traffic. 





Participants can expect a wealth of activities hosted by community organizations and businesses. Community groups and businesses can get involved by: extending business onto the sidewalk by setting up cafe tables or displays and serving guests and customers; planning or sponsoring an activity that activates the space in front of their business; volunteering to help run the event or becoming a sponsor of the event.





The route follows Howell Mill Road and Marietta Street, as far south as Centennial Olympic Park and Woodruff Park in Downtown Atlanta. The full map route is available at atlantastreetsalive.com/dates.","null","265 Centennial Olympic Park Dr.
ATLANTA, GA 30303",""
"Alpharetta Arts Streetfest","https://atlantaplanit.wabe.org/events/alpharetta-arts-streetfest/","null","null","Sat, May 27Sun, May 28Mon, May 29","10am – 5pm","Free","The City of Alpharetta and Splash Festivals are excited to present the 13th Annual Alpharetta Arts Streetfest on Memorial Day weekend. This three-day event will host more than 90 colorful artisans from around the country who will showcase their works in the Alpharetta Historic District.  This much anticipated festival will feature live music, cultural arts performances, entertaining children’s activities, and a variety festival cuisine.","null","20 North Main St.
ALPHARETTA, GA 30009",""
"Sandy Springs Festival","https://atlantaplanit.wabe.org/events/sandy-springs-festival-2/","null","null","Sat, Sep 23","9am – 6pm","Free!","The 32nd Annual Sandy Springs Festival offers two exciting days of art, live music, cultural performances, a pet parade, Chalk Walk Art Competition, 10K and 5K race, children’s programming, classic rides, gourmet and festival food options, and much more.





The Sandy Springs Festival has grown from a small picnic to a major event drawing over 20,000 attendees. As the primary fundraiser for Heritage Sandy Springs – the nonprofit organization that saved the original “sandy springs” and is dedicated to a vibrant community engaged in history, culture, and stewardship – this celebrated community tradition has something for everyone!","null","6110 Bluestone Rd.
SANDY SPRINGS, GA 30328",""
"Southern Museum of Civil War and Locomotive History","https://atlantaplanit.wabe.org/events/southern-museum-of-civil-war-and-locomotive-history/","Southern Museum of Civil War and Locomotive History","Dec 1, 2016 – Dec 31, 2017","Every","9:30am – 5pm11am – 6pm","Adults$7.50Seniors$6.50Children (ages 4 to 12)$5.50Children (3 and under)Free!","Experience the dramatic history of railroads and the War Between the States at the Southern Museum of Civil War & Locomotive History! A Smithsonian Affiliations member, the Museum provides visitors with a unique perspective into the strategic and economic use of railroads during and after the Civil War. The Museum is home to the General locomotive, made famous during the Great Locomotive Chase of 1862, an impressive Civil War collection, and the Glover Machine Works, a restored early 20th century belt-driven locomotive assembly line. The Jolley Education Center offers numerous hands-on and interactive exhibits that are fun for the entire family, and the Cobb Energy Gallery features traveling exhibits from the Smithsonian Institution Traveling Exhibition Service, as well as other sources. The Southern Museum’s educational programs reinforce classroom learning by connecting historical information with actual artifacts.","Southern Museum of Civil War and Locomotive History","2829 Cherokee St.
KENNESAW, GA 30144",""
"Toddler Thursdays","https://atlantaplanit.wabe.org/events/toddler-thursdays/","Toddler Thursdays","Dec 22, 2016 – Dec 28, 2017","Every","10am – 4pm","Free with Museum AdmissionGeneral Admission$14.50Children (5 and under)Free!","Drop by the High to craft original artwork with your tot at this popular pre-school program. Head into the galleries to investigate featured works of art and discover new ways of looking at the High's collection through letters, numbers, colors and shapes. Bring your toddlers to explore a new theme each week, with related artworks, art projects, stories and tours. The event is designed for children ages 15 months to four years old. No registration is required, and children must be accompanied by an adult. The workshop will close for lunch and a short catnap from 1 to 1:30 p.m.","High Museum of Art","1280 Peachtree St. NE
ATLANTA, GA 30309",""
"Ribbit the Exhibit","https://atlantaplanit.wabe.org/events/ribbit-the-exhibit/","Ribbit the Exhibit","Apr 15 – Jul 15","Every","10am – 4pm","Adults$8Children (ages 3 to 12)$5Children (2 and under)Free!","""Ribbit the Exhibit"" hops into the Atlanta Botanical Garden, Gainesville this spring with 23 whimsical frog sculptures sure to bring smiles to the young and young at heart. The exhibition of copper sculptures is the creation of North Carolina artist Andy Cobb, who left the corporate world after 21 years to focus on his art, including frogs, birds and fish.","Atlanta Botanical Garden, Gainesville","1911 Sweetbay Dr.
GAINESVILLE, GA 30501",""
"Old Fourth Ward Park Arts Festival","https://atlantaplanit.wabe.org/events/old-fourth-ward-park-arts-festival/","null","null","Sat, Jun 24","10am – 5pm","Free!","The Old Fourth Ward Park Arts Festival is a two-day celebration of community and tradition for people of all ages, customs and interests. The festival is a major celebration of the arts while honoring the rich history of this community. Festival goers are invited to explore painting, photography, ceramics, glass, jewelry, woodwork, handcrafted items and an Emerging Artists Pavilion along the park’s winding paved path with the beautiful pond and amphitheater as a backdrop. The festival also features live music in the amphitheater, local food vendors, drinks, a children’s area, hands-on art demonstrations, games and much more.","null","592 N. Angier Ave. NE
ATLANTA, GA 30308",""
"Atlanta Monetary Museum","https://atlantaplanit.wabe.org/events/atlanta-monetary-museum/","Atlanta Monetary Museum","Apr 3 – Dec 22","Every","9am – 4pm","Free!","Located at the Federal Reserve Bank of Atlanta, the Atlanta Monetary Museum offers visitors a chance to explore an exhibit of historical artifacts to learn the fascinating story of money — from barter to modern times. Visitors can also learn about the turbulent history of banking in America and see examples of rare coins and currency. The museum features a display on the history of money, interactive exhibits explaining the Federal Reserve's role in the economy, and a view of the bank's automated vault and cash processing areas. See where millions of dollars are counted, sorted or shredded daily, and get a glimpse into the bank's automated vault and see the robotic transports that do the heavy lifting. Individuals do not need to schedule a tour in advance.





Closed October 13, November 11, Thanksgiving Day and Christmas Day.","Atlanta Monetary Museum","1000 Peachtree St. NE
ATLANTA, GA 30309",""
"Atlanta Streets Alive: Central","https://atlantaplanit.wabe.org/events/atlanta-streets-alive-central/","null","null","Sun, Sep 24","2pm – 6pm","Free","The streets of Atlanta come to life on Sept. 24 from 2 p.m. to 6 p.m. as Peachtree Street is opened to people on foot, bike, and other human-powered activities, and closed to motorized traffic. 





Participants can expect a wealth of activities hosted by community organizations and businesses. Community groups and businesses can get involved by: extending business onto the sidewalk by setting up cafe tables or displays and serving guests and customers; planning or sponsoring an activity that activates the space in front of their business; volunteering to help run the event or becoming a sponsor of the event.





The route follows Peachtree Street from the heart of Downtown to the heart of Midtown. The full map route is available at atlantastreetsalive.com/dates.","null","1280 Peachtree St. NE
ATLANTA, GA 30309",""
"Sweet Auburn Springfest","https://atlantaplanit.wabe.org/events/sweet-auburn-springfest/","null","May 13 – May 14","Sat, May 13","11am – 9pm","Free!","The Sweet Auburn Heritage Festival was created to rebuild Auburn Avenue’s “Sweet Auburn” district and return the street’s status as the “greatest street on the planet,” according to the event website. The event is full of food, fun and entertainment for the whole family. There is a Kids Fantastic Fun Zone, International Food Court, and a 150-foot zipwire.","null","Auburn Ave. NE and Courtland St. NE
ATLANTA, GA 30303",""
"Freedom Over Me","https://atlantaplanit.wabe.org/events/freedom-over-me/","Freedom Over Me","May 15","Mon, May 15","5:30pm – 9pm","Free with RSVP","The second installment of the Alliance Theatre ALLIANCE(s): In Action partnership features an interactive reading of Ashley Bryan’s Freedom Over Me. This children’s book brings to life the story of 11 slaves and their dreams through imaginative interpretations of slave auction and plantation estate documents. This special reading by the Alliance Theatre Palefsky Collision Project highlights the stark contrast between the monetary value placed on a slave’s life and the priceless value of life experiences and dreams.?","Center for Civil and Human Rights","100 Ivan Allen Jr. Blvd.
ATLANTA, GA 30313",""
"From Here to There","https://atlantaplanit.wabe.org/events/from-here-to-there/","From Here to There","Jan 28 – May 29","Every","10am – 4pm10am – 5pm","General Admission$14.95","Come explore the science of how things move by land, sea and air. Ride a hovercraft to experience air pressure, turn up the heat to launch a colorful hot air balloon, and float a boat to experiment with air flow. Lift, launch and levitate your way through hands-on exhibits that make learning about gravity, friction, and the laws of motion fun!","The Children’s Museum of Atlanta","275 Centennial Olympic Park Dr. NW
ATLANTA, GA 30313",""
"Fernbank Science Center","https://atlantaplanit.wabe.org/events/fernbank-science-center/","Fernbank Science Center","Jan 2 – Dec 31","Every","12pm – 5pm12pm – 9pm10am – 5pm","Science Center AdmissionFree!Planetarium Show Admission:General Admission$7Seniors/Students$5","Come explore the adventures of science through this museum, classroom and woodland complex. The facility covers four acres on the edge of the 65-acre Fernbank Forest and offers educational programs for the entire family to enjoy.





The Exhibit Hall is split over two levels and has numerous displays that deal with a whole array of scientific concepts. The upper level houses permanent exhibits, including the live animals exhibit featuring poison dart frogs, snakes, turtles, spiders and more. The lower exhibit hall functions as the temporary display area with changing exhibits, traveling exhibits and more.





The Jim Cherry Memorial Planetarium offers a unique opportunity to learn about the night sky. The 500-seat theater, equipped with a 70-foot dome, a Mark V. Zeiss star projector, and more than 100 special effects projectors, is one of the largest planetariums in the United States. It offers a rotating schedule of shows.





The Fernbank Observatory houses a 0.9-meter (36-inch) Cassegrain reflector beneath a 10-meter (30-foot) dome. An astronomer is available to position the telescope and answer questions.





The Fernbank Library collection consists primarily of materials dealing with science and technology. Astronomy, botany, ecology and horticulture are the focus of the collection.





The Meteorology and Siesmology Laboratory houses equipment used for recording atmospheric and seismological events. Special programs are offered in the laboratory throughout the year.





The Compost Site is located behind the main building and includes numerous types of working compost bins, a vegetable garden, a butterfly garden, and different species of plants used for landscaping purposes.","Fernbank Science Center","156 Heaton Park Dr. NE
ATLANTA, GA 30307",""
"Stone Mountain Park Memorial Day Weekend","https://atlantaplanit.wabe.org/events/stone-mountain-park-memorial-day-weekend/","null","null","Every","10am – 10pm","Single ticket prices range from $26.95 to $31.95 adv","Join Stone Mountain Park for a special salute to the troops, extended fireworks finale, and the Lasershow Spectacular in Mountainvision® with jaw dropping fire effects now for four nights! Marvel as the skies above light up in a specially choreographed musical tribute honoring the brave men and women who protect our country.





Enjoy exciting attractions including, SkyHike®, one of the nation’s largest adventure ropes courses,  Geyser Towers®, a one-of-a-kind water adventure,  Summit Skyride, where you can soar to the top of the mountain for unprecedented views of the city, Ride The Ducks™, where you can tour the Park in a splashy way…the adventures are endless!","null","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087",""
"Georgia Renaissance Festival","https://atlantaplanit.wabe.org/events/georgia-renaissance-festival/","null","null","Every","10:30am – 6pm","Adults$19 adv, $22 at the gateChildren (ages 6 to 12)$8 adv, $10 at the gateChildren (5 and under)Free!","The annual festival returns for its 31st year with weeks of family entertainment, Renaissance culture, games, an artisan market, food and drink, and so much more. 





Themed Weekends:


April 15 & 16: Opening Weekend


April 22 & 23: Cosplay, Pet Friendly and College Weekend


April 29 & 30: Kids Free Weekend


May 6 & 7: Maytoberfest Weekend


May 13 & 14: Highland Fling Weekend


May 20 & 21: Pirates Plunder Weekend


May 27, 28 & 29: Memorial Day Weekend


June 3 & 4: Romance Weekend","null","6905 Virlyn B. Smith Rd.
FAIRBURN, GA 30213",""
"Shopkins Live!","https://atlantaplanit.wabe.org/events/shopkins-live/","Shopkins Live!","Oct 7","Sat, Oct 7","3pm – 6pm","Single ticket prices range from $25 to $55 adv","Based on America’s #1 toy brand, Youtube sensation and international toy phenomenon created in Australia by Moose Toys, Shopkins Live! will feature The Shoppies and Shopkins characters taking the stage with an all new storyline, original pop music and video highlights as ‘Jessicake’, ‘Bubbleisha’, ‘Peppa-Mint’ and friends prepare for Shopville’s annual “Funtastic Food and Fashion Fair.”","Fox Theatre","660 Peachtree St. NE
ATLANTA, GA 30308",""
"Alpharetta Christmas Tree Lighting","https://atlantaplanit.wabe.org/events/alpharetta-christmas-tree-lighting/","null","null","Sat, Dec 2","5pm – 9pm","Free","To kick-off the holiday season the Alpharetta Downtown Historic District lights up for the Annual Christmas Tree Lighting. Celebration fills the downtown streets in with musical performances, Santa, snow, food trucks, roasting marshmallows, a farmer’s market and more.","null","20 North Main St.
ALPHARETTA, GA 30009",""
"Delta Flight Museum","https://atlantaplanit.wabe.org/events/delta-flight-museum/","Delta Flight Museum","Jan 1 – Dec 31","Every","10am – 4:30pm10am – 5:30pm12pm – 4:30pm","Adults$12.50 advSeniors$10 advChildren (ages 5 to 17)$7 advChildren (under 4)Free!Flight Simulator Experience for Four$425 adv","The Delta Flight Museum is a 68,000-square-foot, state-of-the-art facility in the heart of Delta’s Atlanta campus. The Museum offers an engaging experience where visitors from around the world can explore aviation history, celebrate the story and people of Delta and discover the future of flight. Attractions include an operational flight simulator previously used to train Delta pilots — the only full-motion flight simulator open to the public in the United States. The Museum also features historic aircraft and rare aviation items from Delta’s family tree of more than 40 airlines, including Chicago & Southern Air Lines, Northeast Airlines, Western Airlines, Pan Am and Northwest Airlines.





Schedule of tours:


Tuesday at 1 p.m.: Guided museum tours


Second Tuesday of each month: Guided Interior tour of Ship 41, Delta's first DC-3 to carry passengers.","Delta Flight Museum","1060 Delta Blvd.
Building B, Department 914
ATLANTA, GA 30354",""
"Fountain of Rings Show","https://atlantaplanit.wabe.org/events/fountain-of-rings-show/","Fountain of Rings Show","Jan 1 – Dec 31","Every","12:30pm – 1pm3:30pm – 4pm6:30pm – 7pm9pm – 9:30pm","Free!","Experience the beauty of Centennial Olympic Park's Fountain of Rings with a dancing water show synchronized to popular music, sound effects and lights. The fountain's 251 computer-controlled water jets, 400 fog jets, 487 lights and miles of underground water pipes make this one of the most sophisticated fountains in the world and the largest fountain in the world to use the five Olympic interconnecting rings.","Centennial Olympic Park","265 Centennial Olympic Park Dr.
ATLANTA, GA 30303",""
"Water Day","https://atlantaplanit.wabe.org/events/water-day/","null","null","Sun, Aug 6","12pm – 2pm","Free with Center AdmissionAdults$10Seniors/Students$7Children (ages 3 to 12)$6Children (2 and under)Free!","Water Day is a celebration of water as summer winds down. Splash through sprinklers, meet water-loving community partners, play water games, and make water crafts!  Come dressed to get wet – swim suits, sunglasses, and flip flops are welcomed! Activities include fun with bubbles, water crafts, outdoor games and sidewalk chalk, Storytime and a raffle.","null","9135 Willeo Rd.
ROSWELL, GA 30075",""
"Yellow Daisy Festival","https://atlantaplanit.wabe.org/events/yellow-daisy-festival/","null","null","Thu, Sep 7Fri, Sep 8","8am – 6pm","Free with$15 vehicle entry to the park (or free with annual permit)","More than 400 artists and crafters from 33 States and two countries will have their works on display. The event features live entertainment, Children's Corner activities, festival food and demonstrations.





Yellow Daisy Festival is free with paid parking admission. Vehicle entry to the park is $15 for a one-day permit.","null","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087",""
"Oakhurst Porchfest","https://atlantaplanit.wabe.org/events/oakhurst-porchfest-2/","null","null","Sat, Oct 14","12pm – 6pm","Free!","Ten years ago in Ithaca, New York, someone had an idea: What if we had an afternoon when porches all over the neighborhood became stages and everyone just meandered from yard to yard, listening, hanging out, and connecting/reconnecting with their neighbors? Porchfest, the ultimate grassroots music festival, was born. 100% resident owned and operated, it’s been going and growing every year since. And in that time, other neighborhoods all around the country have taken the model and run with it. Including Oakhurst, which launched its own Porchfest in October, 2015.





This event takes place in the southwest corner of Decatur, sandwiched between Agnes Scott College to the east and Kirkwood to the west.","null","ATLANTA, GA",""
"Cirque du Soleil: LUZIA","https://atlantaplanit.wabe.org/events/cirque-du-soleil-luzia/","Cirque du Soleil: LUZIA","Sep 14 – Oct 15","Every","8pm – 10pm4:30pm – 6:30pm1:30pm – 3:30pm5pm – 7pm","Single ticket prices range from $35 to $265","Cirque du Soleil is coming to Atlanta with its delightfully-imaginative and visually-stunning production LUZIA, a waking dream of Mexico. Through a series of grand visual surprises and breathtaking acrobatic performances, LUZIA takes audiences on a surrealistic journey filled with wonders, playfulness and striking artistry. Smoothly passing from an old movie set to the ocean to a smoky dance hall or an arid desert, LUZIA cleverly brings to the stage multiple places, faces and sounds of Mexico taken from both tradition and modernity. Rich in awe-inspiring moments, LUZIA enchants by incorporating rain into acrobatic and artistic scenes – a first for a Cirque du Soleil touring production.





No show scheduled Tuesday, October 10.","Atlantic Station","171 17th St.
ATLANTA, GA 30363",""
"Flying Colors Butterfly Festival","https://atlantaplanit.wabe.org/events/flying-colors-butterfly-festival/","null","null","Sat, Jun 3","10am – 3pm","General Admission$12","The annual ""Flying Colors Butterfly Festival"" fills the Chattahoochee Nature Center with the beating wings of hundreds of beautiful butterflies. The Butterfly Encounter Exhibit invites visitors to hand-feed more than 250 free flying butterflies. Enjoy the show when butterflies land on flowers after the releases. The event also features live music, photography and entomology exhibits, arts and crafts, face painting, butterfly parades and more. Kids can wear their butterfly costumes and join the daily butterfly parades. Pollinator and host plants will be on sale for garden enthusiasts, and food trucks will sell snacks on site. Additional parking is available at the St. Francis School on Willeo Road, and a free shuttle bus service will be provided from this location.





Live Butterfly Releases


(Subject to Change)


Saturday: 11 a.m. and 1:30 p.m.


Sunday: 1:30 and 3:30 p.m.","null","9135 Willeo Rd.
ROSWELL, GA 30075",""
"Decatur Beach Party","https://atlantaplanit.wabe.org/events/decatur-beach-party/","null","Jun 17","Sat, Jun 17","5pm – 11pm","General Admission: $10 adv Children (4 to 12): $5 adv Children 3 and under Free!","No beach? No problem! Decatur makes its own with 60 tons of sand – transforming the square into Sandcastle Central. Add a kid’s boardwalk, live music and dancing on the plaza, a food court with funnel cakes and fruity drinks, and voilà — you’re in a beach town, Decatur-style, without the sunburn and hours of driving.","null","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030",""
"Atlantic Station Tree Lighting","https://atlantaplanit.wabe.org/events/atlantic-station-tree-lighting/","null","null","Sat, Nov 18","1pm – 10pm","Free","Atlantic Station’s annual tree lighting attracts thousands of guests every year. Join Atlantic Station for the welcoming of Santa, live music and tons of fun as the switch is flipped on the greatest tree in Midtown. Watch the Holiday Parade beginning at 7:30 p.m. and stay for Midtown’s biggest fireworks display after the tree lighting.","null","171 17th St.
ATLANTA, GA 30363",""
"Norcross July 4th Celebration – Red, White & Boom!","https://atlantaplanit.wabe.org/events/norcross-july-4th-celebration-red-white-boom/","null","null","Mon, Jul 3","5pm – 11pm","Free!","Celebrate the birth of America (a day early!) with the city of Norcross at the annual Red, White & Boom! There will be food trucks, art vendors, music, shops, restaurants and more, as well as a firework display to end the evening.





This event takes place in Historic Downtown Norcross.","null","10 College St.
NORCROSS, GA 30071",""
"Annual Cherokee County Indian Festival & Mother’s Day Powwow","https://atlantaplanit.wabe.org/events/annual-cherokee-county-indian-festival-mothers-day-powwow/","null","null","Sat, May 13","10am – 6pm","General Admission: $15 Children (6 to 12): $5 Children (5 and under): Free!","Annual Cherokee County Indian Festival & Mother's Day Powwow features many favorite activities for all audiences, including a Native American dance competition, warriors on horseback, Native film and TV stars, hoop dancers and Aztec dancers, tipis, wigwam and living Indian village and displays, Northern Plains encampment, primitive skills, environmental and wildlife displays, Native American artisans, Save the Horses rescue group, train rides and other activities for children, Mother’s Day Honor Dance and much more. 





This event takes place at:


Boling Park


1098 Marietta Hwy


Canton, GA 30114","null","ATLANTA, GA",""
