event_link,event_link-href,event_title,event_dates,Days,Time,event_admission,event_description,venue_name,venue_address,venue_events_button
"Little Five Arts Alive","https://atlantaplanit.wabe.org/events/little-five-arts-alive/","null","null","Every","5pm – 8pm","Free!","Building upon the success of the 2016 program, Little Five Arts Alive, a free weekly series of outdoor arts events, returns to the heart of Little Five Points! This year’s programming will again highlight a wide variety of artists -- music, dance, theatre, visual arts, crafts, circus, performance art and more.    They're mixing it up with lots of surprises for Little Five Points neighbors and visitors, including chances to be both spectators and participants. Every Saturday and Sunday from 5 to 8 p.m.","null","Moreland Ave. NE & Euclid Ave. NE
ATLANTA, GA 30307",""
"Madison Ave Soapbox Derby","https://atlantaplanit.wabe.org/events/madison-ave-soapbox-derby/","null","null","Sat, Oct 7","12pm – 5:30pm","Free!","This event is a unique, non-motorized racing event that challenges amateur racers to design and build human-powered soapbox cars and compete against the clock in a downhill race. The Madison Ave Soapbox Derby is fueled by creativity and family fun, not to mention the need for speed!





This event takes place at:


Madison Ave


Decatur, GA 30030","null","ATLANTA, GA",""
"Grant Park Summer Shade Festival","https://atlantaplanit.wabe.org/events/grant-park-summer-shade-festival/","null","null","Sat, Aug 26","10am – 10pm","Free!","For more than a decade, Atlanta art and music lovers have flocked to Grant Park each August to bid adieu to summer at the Summer Shade Festival. It’s two days of outdoor fun planned for all ages including a 5K Run for the Park, food trucks, craft beer, an entertaining Kids Zone and a music line up that just gets better every year. And don’t miss the Sunday morning Grant Park Farmers Market.","null","800 Cherokee Ave. SE
ATLANTA, GA 30315",""
"Fantastic Fourth Celebration","https://atlantaplanit.wabe.org/events/fantastic-fourth-celebration/","null","null","Every","10am – 10pm","Single ticket prices range from $26.95 to $31.95 adv","Experience the Lasershow Spectacular in Mountainvision®, a not-to-be-missed Atlanta tradition that promises to wow your family with state-of-the-art digital graphics and awe-inspiring effects. The Lasershow Spectacular in Mountainvision®, features iconic music, epic fireworks and  jaw-dropping fire effects.","null","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087",""
"Decatur Book Festival","https://atlantaplanit.wabe.org/events/decatur-book-festival/","null","null","","","Free!","The Decatur Book Festival is the largest independent book festival in the country and one of the five largest overall. Since its launch, more than 1,000 world-class authors and hundreds of thousands of festival-goers have crowded the historic downtown Decatur square to enjoy book signings, author readings, panel discussions, an interactive children's area, live music, parades, cooking demonstrations, poetry slams, writing workshops and more.","null","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030",""
"CreateATL: Family Fun Festival","https://atlantaplanit.wabe.org/events/createatl-family-fun-festival/","CreateATL: Family Fun Festival","Nov 20, 2016 – May 27, 2018","Every","1pm – 4pm","Free!","""CREATE ATL: Family Fun at The Woodruff Arts Center"" is an afternoon of free family programming, every Sunday from 1 to 4 p.m., led by the Alliance Theatre, Atlanta Symphony Orchestra and High Museum of Art. Activities include family festivals, art-making activities, interactive musical story times, composers-in-training sessions, instrument making, drop-in acting classes and more. In addition, families will have the opportunity to experience world-class productions and exhibitions at the Arts Center.","The Woodruff Arts Center","1280 Peachtree St. NE
ATLANTA, GA 30309",""
"Piedmont Park Arts Festival","https://atlantaplanit.wabe.org/events/piedmont-park-arts-festival/","null","null","Sat, Aug 19","10am – 5pm","Free!","The 2017 Piedmont Park summer arts and crafts festival is a two-day outdoor event with an emphasis on the visual arts and family fun. This event features nearly 250 painters, photographers, sculptors, leather and metalwork, glass blowers, jewelers and crafters. The festival will also offer artist demonstrations, live acoustic music, a street market, children's play area plus festival foods and beverages with healthy alternatives.","null","1071 Piedmont Ave.
ATLANTA, GA 30309",""
"Pumpkin Festival","https://atlantaplanit.wabe.org/events/pumpkin-festival-2/","null","null","Every","10am – 5pm","Single ticket prices range from $26.95 to $31.95 adv","Enjoy the beautiful fall colors and cooler weather at Atlanta’s favorite place to celebrate the fall season. Stone Mountain Park’s annual Pumpkin Festival has become a family favorite with kids and parents alike.





Take in all of the splendor that autumn provides with attractions, fun-filled games, shows, and more. Spookley's Funtastic Kid's Carnival including inflatables, candy, and traditional boardwalk games. Let the autumn breeze blow across you as you listen to classic and contemporary tales, including the Legend of Spookley the Square Pumpkin, during Adventure Tales Storytelling. Join Spookley the Square Pumpkin and lift his friends into the air for a Dance-A-Long Party Parade that dances through Crossroads, and then meet him at Spookley’s Pumpkin Patch Meet & Greet. Beat the clock with a tasty treat at the Pie Eating Contest and much more!","null","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087",""
"Stone Mountain Highland Games","https://atlantaplanit.wabe.org/events/stone-mountain-highland-games/","null","null","Every","8am – 5pm","General Admission$10 to $25","For 45 years, the picturesque grounds of the Stone Mountain Park meadow have resounded with the sounds of bagpipes, fiddles and harps during the third weekend in October. This year  thousands of Scots (even those that wish to be 'Scot for the Day') from around the world will don their family tartans and gather to greet old friends and make new ones too. Come and enjoy the Highland Athletic events, Highland Dancing, Piping and Drumming, and Scottish Harping. Participate in the Scottish Country Dancing demonstrations, Kirking of the Tartans, Clan Challenge Athletic events and the Parade of Tartans.","null","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087",""
"The Curious Garden","https://atlantaplanit.wabe.org/events/the-curious-garden/","The Curious Garden","May 6 – Oct 29","Every","9am – 7pm","Adults$21.95Children (ages 3 to 12)$15.95Children (2 and under)Free!","The Curious Garden features 11 site-specific installations created to share a story about the Garden’s plant collections and plant conservation work by prompting visitors to make a discovery, ask questions and provoke a discussion. Bold, often unexpected, manmade and altered natural materials are employed to direct the eye to focus on the simple beauty of nature. Think dozens of multi-colored spray-painted trees. A mysterious display of scientific lab glassware filled with an array of colorful liquids. Dozens of sparkly old chandeliers dripping with plants.","Atlanta Botanical Garden","1345 Piedmont Ave. NE
ATLANTA, GA 30309",""
"Center for Civil and Human Rights","https://atlantaplanit.wabe.org/events/center-for-civil-and-human-rights/","Center for Civil and Human Rights","Dec 1, 2016 – Dec 31, 2017","Every","10am – 5pm12pm – 5pm","Adults$16 advSeniors/Students$14 advChildren (ages 3 to 12)$12 adv","Closed Thanksgiving Day and Christmas Day.





The Center for Civil and Human Rights is a museum where visitors can learn about The American Civil Rights Movement and its significance for the progress of human rights across the world. The individual galleries engage visitors through a combination of powerful imagery, compelling artifacts and poignant storytelling. 





Spark of Conviction: The Global Human Rights Movement features interactive technology intended to help visitors gain a deeper understanding of human rights and how they affect the lives of every person.





Rolls Down Like Water: The American Civil Rights Movement presents the brave fight for equality in The American Civil Rights Movement of the 1950s and '60s.





Voice to the Voiceless: The Morehouse College Martin Luther King Jr. Collection features a rotating exhibition of items where visitors can view the personal papers and items of Dr. Martin Luther King Jr.","Center for Civil and Human Rights","100 Ivan Allen Jr. Blvd.
ATLANTA, GA 30313",""
"Chattahoochee Nature Center","https://atlantaplanit.wabe.org/events/chattahoochee-nature-center/","Chattahoochee Nature Center","Dec 1, 2016 – Dec 31, 2017","Every","10am – 5pm12pm – 5pm","Adults$10Seniors/Students$7Children (ages 3 to 12)$6Children (2 and under)Free!","Closed New Year's Day, Thanksgiving Day, Christmas Eve and Christmas Day.





Chattahoochee Nature Center provides unique learning experiences focused on the Chattahoochee River that connect people to the natural world. The Center offers interactive, hands-on programs for children as well as programs for adults. Get back to nature on one of six hiking trails. Explore almost three acres of gardens that display more than 600 native plants from Georgia. Also visit the Discovery Center, which serves as a portal of information about the Chattahoochee River Watershed and includes engaging interactive exhibits, live and native animals, a planted roof terrace, learning tools, and the Chattahoochee River Resources Gallery. In the Nature Exchange section, thousands of sea shells, fossils, unusual rocks, preserved insects and more wait to be touched, taken out and explored under microscopes and magnifiers. Bring your own objects to view or trade as you build your own special collection. There are many ways to create your own watershed adventure!","Chattahoochee Nature Center","9135 Willeo Rd.
ROSWELL, GA 30075",""
"Boo At The Zoo","https://atlantaplanit.wabe.org/events/boo-at-the-zoo/","null","null","Every","9:30am – 3pm","Adults: $22.99 adv Seniors: $18.99 adv Children: $16.99 adv Children (2 and under): Free!","It’s that time of year when Atlanta’s favorite fun family Halloween festival returns. Sample treats, and enjoy the sights, characters and adventures of the whimsical Zoo Boo Town on five magical days with more than 1,500 animals from around the world. Don’t forget your costume!","null","800 Cherokee Ave. SE
ATLANTA, GA 30315",""
"Peppa Pig’s Surprise","https://atlantaplanit.wabe.org/events/peppa-pigs-surprise-2/","Peppa Pig’s Surprise","Sep 24","Sun, Sep 24","5pm – 8pm","Single ticket prices range from $29.50 to $56.50 adv","In Peppa Pig’s Surprise, it’s a lovely day and Peppa is playing outside with her friends. Mummy Pig and Daddy Pig have got a surprise for her and her younger brother George, but no matter how hard they try, they cannot guess what it is. Audiences will enjoy interactive fun, games and, of course, many surprises.","Cobb Energy Performing Arts Centre","2800 Cobb Galleria Pkwy.
ATLANTA, GA 30339",""
"Cinderella Della Circus","https://atlantaplanit.wabe.org/events/cinderella-della-circus/","Cinderella Della Circus","Jun 20 – Jul 23","Every","10am – 11am12pm – 1pm11am – 12pm1pm – 2pm3pm – 4pm","Single ticket prices range from $11.25 to $19.50","Cinderella Della Circus brings high-flying thrills to the Center for Puppetry Arts! Created by the Center’s Artistic Director Jon Ludwig, this show balances both puppetry and the circus through fairytale magic!","Center for Puppetry Arts","1404 Spring St. NW
ATLANTA, GA 30309",""
"Atlanta World Kite Festival","https://atlantaplanit.wabe.org/events/atlanta-world-kite-festival/","null","null","Sat, Oct 28","1pm – 6pm","Free","The festival was created to provide an amazing outdoor family experience complete with kite flying and demonstrations, food, live entertainment, music, contests and a kids fun zone!","null","1071 Piedmont Ave.
ATLANTA, GA 30309",""
"Atlanta Botanical Garden","https://atlantaplanit.wabe.org/events/atlanta-botanical-garden/","Atlanta Botanical Garden","Jan 1 – Dec 31","Every","9am – 5pm","Adults$21.95Children (ages 3 to 12)$15.95Children (2 and under)Free!","Closed Mondays except Monday holidays such as Labor Day, Memorial Day and Columbus Day. Closed Thanksgiving Day, Christmas Day and New Year's Day.





Garden Tours: Tuesday through Thursday at 10:30 a.m.


(Meet in the Hardin Visitor Center five minutes prior to tour time.)





The Atlanta Botanical Garden is home to 15 acres of outdoor display gardens, the 5-acre Upper Woodland filled with shade-loving ornamentals from around the world, and the 10-acre Storza Woods with natural undergrowth and walking trails. The Fuqua Orchid Center houses a diverse plant collection that ranges from native plants of the Cloud Forest in the Andes Mountains in South America to orchids from Asia. Visitors can also enjoy the aerial views of the Woodland while strolling the 600-foot canopy walk and view the Edible Garden, which includes an outdoor kitchen and aims to demonstrate that fruits and vegetables make beautiful landscape plants.","Atlanta Botanical Garden","1345 Piedmont Ave. NE
ATLANTA, GA 30309",""
"The Wren’s Nest","https://atlantaplanit.wabe.org/events/the-wrens-nest/","The Wren’s Nest","Dec 30, 2016 – Dec 31, 2017","Every","10am – 2:30pm","Adults$9Seniors/Students$8Children$6","Storytelling: Saturday at 1 p.m.





The Wren's Nest is the Victorian home of Joel Chandler Harris, author of the Uncle Remus tales, located in Atlanta's historic West End. As Atlanta's oldest house museum, it officially opened for operation in 1913. Docents provide tours each day of the vast collection of furniture, books and decor original to the Harris home. The spunky tour guides and lively storytellers enhance the experience at this truly authentic, old-Atlanta home.","The Wren’s Nest","1050 Ralph D. Abernathy Blvd. SW
ATLANTA, GA 30310",""
"Pick’n In Grant Park","https://atlantaplanit.wabe.org/events/pickn-in-grant-park/","null","null","Fri, May 12","5pm – 10pm","Free!","The Grant Park Conservancy is please to bring back, Pick'n in Grant Park BBQ and Music Festival for a second year.","null","800 Cherokee Ave. SE
ATLANTA, GA 30315",""
"Greene Family Learning Gallery","https://atlantaplanit.wabe.org/events/greene-family-learning-gallery/","Greene Family Learning Gallery","Dec 1, 2016 – Dec 31, 2017","Every","10am – 5pm10am – 9pm12pm – 5pm","Free with Museum AdmissionGeneral Admission$14.50Children (5 and under)Free!","Visit this gallery where families can explore their creativity together in five fun activity areas: Building Buildings, Making a Mark, Telling Stories, Sculpting Spaces and Transforming Treasure. These discovery activity areas are inspired by some of the most popular objects in the Museum's collection. Located on the first floor of the Stent Family Wing, the Greene Family Learning Gallery is designed to serve children from preschool through 10 years of age, their families and caregivers through exhibitions that change periodically in connection with the Museum's exhibitions and programs.





Weekend Family Tours of the museum leave Saturday and Sunday at 2 p.m. from the Greene Family Learning Gallery.","High Museum of Art","1280 Peachtree St. NE
ATLANTA, GA 30309",""
"Juneteenth Atlanta Parade & Music Festival","https://atlantaplanit.wabe.org/events/juneteenth-atlanta-parade-music-festival/","null","null","Every","10am – 10pm","Free!","Juneteenth is the event that all people and especially people of African descent should know as America’s second Independence Day celebration and the oldest known celebration commemorating the ending of slavery in the United States of America. It has also been called Freedom Day or Emancipation Day and rightly so. Juneteenth represents the freedom that African descendants stand on today.





This event takes place at:


Morris Brown College


643 Martin Luther King Jr Dr NW


Atlanta, GA 30314","null","ATLANTA, GA",""
"Georgia Aquarium","https://atlantaplanit.wabe.org/events/georgia-aquarium/","Georgia Aquarium","Jan 1 – Dec 31","Every","10am – 9pm9am – 9pm","Adults$39.95Seniors$35.95Children (ages 3 to 12)$33.95Children (2 and under)Free!Check online for advance purchase discounts","The world's largest aquarium features more aquatic life than any other aquarium and holds more than 10 million gallons of water. Through a path of more than 60 exhibits, the Georgia Aquarium tells a global water story, with features modeled after the greatest zoos and aquariums in the world. Each majestic exhibit is designed to inspire, entertain and educate.





Cold Water Quest introduces guests to curious cold water animals such as Australian weedy sea dragons, garibaldi damselfish, Japanese spider crabs and the Aquarium's famous beluga whales.





Georgia Explorer is a highly interactive gallery with touch pools full of horseshoe crabs, sea stars, stingrays and shrimp.





Ocean Voyager features an acrylic tunnel and gigantic acrylic viewing window that allow visitors to feel like a scuba diver in an endless blue sea, mesmerized by thousands of fish swimming overhead.





River Scout highlights the wide diversity of animals found in the rivers of Africa, South America, Asia and Georgia, including albino alligators and the highly sociable Asian small-clawed otter.





Tropical Diver is a gallery of living art filled with tropical coral reefs.





4D Theater and Deepo's Undersea 3D Wondershow combines digital projection, a high definition animated 3D film, and unique special effects in one of the most advanced 4D theaters in the world. Advance reservations are not required, and shows begin 30 minutes after the Aquarium opens and run continuously.





Dolphin Tales includes a dolphin gallery and exhibit dedicated to helping guests better understand the majestic bottlenose dolphin as well as a spectacular theatrical performance highlighting the strong emotional bond between humans and dolphins. Advance reservations are required and can be made online and at the door when purchasing Aquarium General Admission tickets.





Hours may vary by date.","Georgia Aquarium","225 Baker St.
ATLANTA, GA 30313",""
"Atlanta Warbird Weekend","https://atlantaplanit.wabe.org/events/atlanta-warbird-weekend-2/","null","Oct 7 – Oct 8","Every","9pm – 4pm","Free!","The Atlanta Warbird Weekend (AWW) is an annual event dedicated to the remembrance and celebration of the men, women and machines of The Greatest Generation. In metro Atlanta, there are significant historical resources and AWW is the catalyst to bring together the organizations, aircraft and people that keep this history alive and engage families and businesses that want to keep this spirit alive.","null","2000 Airport Rd.
ATLANTA, GA 30341",""
"Atlanta Greek Festival","https://atlantaplanit.wabe.org/events/atlanta-greek-festival/","null","Sep 28 – Oct 1","Thu, Sep 28Fri, Sep 29","5pm – 11pm","General Admission: $5 adv Children (5 and under) Free!","All the magic of Athens… Just miles from home!  The Atlanta Greek Festival brings all the aromas, sounds, tastes and traditions of Greece to your doorstep. Your admission ticket becomes your passport as you enjoy all the Beauty of Santorini and the Fun of Mykonos.","null","2500 Clairmont Rd. NE
ATLANTA, GA 30329",""
"Star Wars and More: The Music of John Williams","https://atlantaplanit.wabe.org/events/star-wars-and-more-the-music-of-john-williams-3/","Star Wars and More: The Music of John Williams","Sep 16","Sat, Sep 16","8pm – 10pm","Single Ticket Price$29.50 to $190","Join the Atlanta Symphony Orchestra for an encore presentation of ""Star Wars and More: The Music of John Williams"" at Verizon Amphitheatre in Alpharetta. 





Principal POPS Conductor Michael Krajewski will lead this concert featuring the very best of John Williams' legendary film scores, including pieces from ""Hook,"" ""Harry Potter"" and the ""Star Wars"" series – including selections from ""Star Wars: The Force Awakens."" 





No outside food or beverages are permitted. 





""Remember...the Force will be with you, always.""","Verizon Wireless Amphitheatre at Encore Park","2200 Encore Pkwy.
ALPHARETTA, GA 30004",""
"Malcolm X Festival","https://atlantaplanit.wabe.org/events/malcolm-x-festival/","null","May 20 – May 21","Every","12pm – 8pm","Free!","Malcolm X Festival is a two day event in its 28th year of consistent service to the community. Bring out family and friends for an experience not forgotten!





Featuring:


Ras Kofi


Da'wah Ensemble


NASO


Kilombo Pan African Institute


Mausiki Scales & Common Ground Collective





This event takes place at:


West End Park


1111 Oak St SW


Atlanta, GA 30310","null","ATLANTA, GA",""
"Heritage Sandy Springs Museum","https://atlantaplanit.wabe.org/events/heritage-sandy-springs-museum/","Heritage Sandy Springs Museum","Dec 1, 2016 – Dec 31, 2017","Every","11am – 2pm","Adults$3Seniors$1Children (ages 6 to 12)$1Children (5 and under)Free!","This museum is the only museum dedicated to sharing the exciting and vibrant story of the Sandy Springs community. The museum is located in the re-purposed Williams-Payne House at Heritage Green. Its permanent exhibit, ""Sandy Springs: Land and People,"" tells the changing story of the community as the home of Native Americans, rural farmers and modern suburbanites. Interpretive panels depict key transitions in Sandy Springs history, including the Land Rush, Civil War and Reconstruction, the impact of World War II, the area's growth in the late 20th century, and the struggle to become a city. Two changing galleries allow the space for in-depth exhibits about historical, seasonal and current events.","Heritage Sandy Springs Museum","6075 Sandy Springs Circle
SANDY SPRINGS, GA 30328",""
"Marietta StreetFest","https://atlantaplanit.wabe.org/events/marietta-streetfest/","null","null","Sat, Sep 16","9am – 9pm","Free","In its 26th year, the Marietta StreetFest provides families, friends and individuals opportunities to enjoy arts and crafts, vintage vehicles, local musicians, children’s offerings and delightful fall weather in Historic Marietta Square. The Marietta StreetFest raises funds for the Marietta Museum of History, and attendees receive free admission to the museum during the weekend. The festival features a Kids Zone with make and take projects and interactive stations. Adults can also check out the Hubcaps and History Classic Car Show as well as the Military, Motorcycles and More Cruise-In.","null","4 Depot St.
MARIETTA, GA 30060",""
"Juneteenth At Atlanta History Center","https://atlantaplanit.wabe.org/events/juneteenth-at-atlanta-history-center/","null","null","Sat, Jun 17","11am – 4pm","Free!","This two-day family program focuses on the appreciation and commemoration of the end of slavery in the United States, also known as Juneteenth. Guests explore the themes of freedom and family history through activities, immersive museum theatre performances and crafts. 





This is a free admission weekend at Atlanta History Center.","null","130 West Paces Ferry Rd. NW
ATLANTA, GA 30305",""
"Children’s Museum of Atlanta","https://atlantaplanit.wabe.org/events/childrens-museum-of-atlanta/","Children’s Museum of Atlanta","Dec 1, 2016 – Dec 31, 2017","Every","10am – 4pm10am – 5pm","General Admission$14.95","This museum offers environments and activities where young children can experience the power of imagination through these permanent exhibits:





Fundamentally Food encourages children to explore everything they need to know about gathering and delivering food.





In Gateway to the World visit six continents, launch a rocket, and climb through the layers of the Earth in the Museum's newest and largest permanent exhibit.





Leaping Into Learning provides children with a water play area, a make-believe waterfall, and a water dome where they can get splashed without getting wet. Also visit a friendly forest with secret spaces for discovery. 





Let Your Creativity Flow lets children don a smock and create a masterpiece right on the wall or build sand sculptures with a secret recipe for moldable sand. In the costume area kids can pirouette with the ballet, tap out a tune or pretend they are pirates.





Tools for Solutions lets kids load balls in a kid-sized crane, move them through the giant ball machine, and operate pullies, levers and wheels.





Step up to Science to marvel at the inner workings of the human body, the wonder of light, and the technology of robots.





A day at the Museum includes a wide variety of hands-on and creative programs that highlight the Museum's focus areas. If you visit the museum, be sure to check out special programs relating to these exhibits.





Closed Thanksgiving Day and Christmas Day. Open 10 a.m. to 1 p.m. on Christmas Eve.","The Children’s Museum of Atlanta","275 Centennial Olympic Park Dr. NW
ATLANTA, GA 30313",""
"Inside CNN Studio Tours","https://atlantaplanit.wabe.org/events/inside-cnn-studio-tours/","Inside CNN Studio Tours","Jan 1 – Dec 31","Every","9am – 5pm","Inside CNN Studio Tour: Adults: $16 Seniors/Students (with ID): $15 Children (ages 4 to 12): $13 Morning Express with Robin Meade Tour: $49 Inside CNN VIP Tour: $35","Closed Easter Sunday, Thanksgiving Day and Christmas Day.





Journey into the heart of CNN Worldwide for an exciting glimpse of news and broadcasting in action! Choose from the 55-minute ""Inside CNN Studio Tour,"" which takes you behind the scenes with views of Atlanta's CNN Studios; the ""Morning Express with Robin Meade Tour,"" which takes you to HLN's popular morning show; or the ""Inside CNN VIP Tour,"" an exclusive behind-the scenes experience with expanded access to the working studios of CNN Worldwide. Reservations are highly recommended and should be made at least 24 hours in advance. Walk-up tickets at the box office are sold on a first come, first served basis, and the box office opens 15 minutes prior to the first tour.


*Ages 12 and up only on the ""Morning Express with Robin Meade Tour"" and ""Inside CNN VIP Tour"" 





Schedule of events:


Inside CNN Studio Tour: 


Departs every 20 minutes daily from 9 a.m. to 5 p.m.


Morning Express with Robin Meade Tour:


Thursday at 8:30 a.m.


Inside CNN VIP Tour:


Monday through Saturday at 9:30 a.m., 11:30 a.m., 1:30 p.m. and 3:30 p.m.","CNN Center","1 CNN Center
ATLANTA, GA 30303",""
"World of Coca-Cola","https://atlantaplanit.wabe.org/events/world-of-coca-cola/","World of Coca-Cola","Jan 1 – Dec 31","Every","10am – 5pm9am – 5pm","Adults$17Seniors$15Children (ages 3 to 12)$13Children (2 and under)Free!","Closed Thanksgiving Day and Christmas Day.





Sharing Pemberton Place® with the Georgia Aquarium in downtown Atlanta, this exciting attraction includes a thrilling, multi-sensory 4-D cinematic adventure, a gallery dedicated to Coke and pop culture, a 7-foot-tall Coca-Cola Polar Bear, a fully functioning bottling line, the Vault of the Secret Formula, and a World of Coca-Cola favorite — the tasting experience — where guests can sample more than 60 different beverages made by The Coca-Cola Company from around the world. Each of the exhibits work together to tell the complete story — past, present and future — of the world's best-known brand. 





The Loft introduces guests to the rich heritage of Coca-Cola with artifacts from yesterday and today.





Coca-Cola Theater features a new short film, ""Moments of Happiness,"" which celebrates life’s everyday moments experienced by people around the world. It features nine mini-stories of people in various life stages and cultures experiencing universal moments of happiness – moments of fun, humor, adventure and love.





Vault of the Secret Formula is your up-close look at the vault where the legendary secret formula for Coca-Cola is secured.





Milestones of Refreshment explores the fascinating story of The Coca-Cola Company in an engaging walk through history.





Bottle Works is a behind-the-scenes look at the actual bottling process.","World of Coca-Cola","121 Baker St.
ATLANTA, GA 30313",""
