event_img-src,event_title,event_tags,event_dates_html,venue_name,venue_url_html,event_url_html,event_item_html,event_date_span,Days,Time
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/SipsSea-300x300.jpg","Sips Under The Sea: Glow in the Dark Party","Holiday","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 4</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, Aug 4</td><td>7pm – 10pm</td></tr></tbody></table></dd></dl>","Georgia Aquarium","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/georgia-aquarium/"">Georgia Aquarium</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sips-under-the-sea-glow-in-the-dark-party/"">Sips Under The Sea: Glow in the Dark Party</a>","<td class=""thumb"">
	<a title=""Sips Under The Sea: Glow in the Dark Party"" href=""https://atlantaplanit.wabe.org/events/sips-under-the-sea-glow-in-the-dark-party/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/07/SipsSea-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/07/SipsSea-300x300.jpg 300w, /wp-content/uploads/2016/07/SipsSea-63x63.jpg 63w, /wp-content/uploads/2016/07/SipsSea.jpg 400w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sips-under-the-sea-glow-in-the-dark-party/"">Sips Under The Sea: Glow in the Dark Party</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/holiday/"" rel=""tag"">Holiday</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Aug 4</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, Aug 4</td><td>7pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/georgia-aquarium/"">Georgia Aquarium</a></span></dd></dl>	</td>","Aug 4","Fri, Aug 4","7pm – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Stone_Mtn_Park-300x300.jpg","Fantastic Fourth Celebration","Family Festivals Holiday","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 1 – Jul 4</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd></dl>","Stone Mountain Park","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/stone-mountain-park-2/"">Stone Mountain Park</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fantastic-fourth-celebration/"">Fantastic Fourth Celebration</a>","<td class=""thumb"">
	<a title=""Fantastic Fourth Celebration"" href=""https://atlantaplanit.wabe.org/events/fantastic-fourth-celebration/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Stone_Mtn_Park-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Stone_Mtn_Park-300x300.jpg 300w, /wp-content/uploads/2017/03/Stone_Mtn_Park-63x63.jpg 63w, /wp-content/uploads/2017/03/Stone_Mtn_Park.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fantastic-fourth-celebration/"">Fantastic Fourth Celebration</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/holiday/"" rel=""tag"">Holiday</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 1 – Jul 4</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/stone-mountain-park-2/"">Stone Mountain Park</a></span></dd></dl>	</td>","Jul 1 – Jul 4","Every","10am – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/11/AtlStationLightingCROP-300x300.jpg","Atlantic Station Tree Lighting","Family Festivals Free Holiday","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Nov 18</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Nov 18</td><td>1pm – 10pm</td></tr></tbody></table></dd></dl>","Atlantic Station","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlantic-station/"">Atlantic Station</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/atlantic-station-tree-lighting/"">Atlantic Station Tree Lighting</a>","<td class=""thumb"">
	<a title=""Atlantic Station Tree Lighting"" href=""https://atlantaplanit.wabe.org/events/atlantic-station-tree-lighting/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2016/11/AtlStationLightingCROP-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/11/AtlStationLightingCROP-300x300.jpg 300w, /wp-content/uploads/2016/11/AtlStationLightingCROP-63x63.jpg 63w, /wp-content/uploads/2016/11/AtlStationLightingCROP.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/atlantic-station-tree-lighting/"">Atlantic Station Tree Lighting</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/holiday/"" rel=""tag"">Holiday</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Nov 18</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Nov 18</td><td>1pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlantic-station/"">Atlantic Station</a></span></dd></dl>	</td>","Nov 18","Sat, Nov 18","1pm – 10pm"
"","Red White & Brew","Festivals Holiday","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 1</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jul 1</td><td>7pm – 11pm</td></tr></tbody></table></dd></dl>","Georgia Aquarium","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/georgia-aquarium/"">Georgia Aquarium</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/red-white-brew/"">Red White &amp; Brew</a>","<td class=""thumb"">
		</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/red-white-brew/"">Red White &amp; Brew</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/holiday/"" rel=""tag"">Holiday</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jul 1</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jul 1</td><td>7pm – 11pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/georgia-aquarium/"">Georgia Aquarium</a></span></dd></dl>	</td>","Jul 1","Sat, Jul 1","7pm – 11pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/AlpharettaChristmasCROP-300x300.jpg","Alpharetta Christmas Tree Lighting","Family Festivals Holiday","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 2</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Dec 2</td><td>5pm – 9pm</td></tr></tbody></table></dd></dl>","Historic Downtown Alpharetta","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/historic-downtown-alpharetta/"">Historic Downtown Alpharetta</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/alpharetta-christmas-tree-lighting/"">Alpharetta Christmas Tree Lighting</a>","<td class=""thumb"">
	<a title=""Alpharetta Christmas Tree Lighting"" href=""https://atlantaplanit.wabe.org/events/alpharetta-christmas-tree-lighting/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/AlpharettaChristmasCROP-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/AlpharettaChristmasCROP-300x300.jpg 300w, /wp-content/uploads/2017/03/AlpharettaChristmasCROP-63x63.jpg 63w, /wp-content/uploads/2017/03/AlpharettaChristmasCROP.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/alpharetta-christmas-tree-lighting/"">Alpharetta Christmas Tree Lighting</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/holiday/"" rel=""tag"">Holiday</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Dec 2</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Dec 2</td><td>5pm – 9pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/historic-downtown-alpharetta/"">Historic Downtown Alpharetta</a></span></dd></dl>	</td>","Dec 2","Sat, Dec 2","5pm – 9pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/AlpharettaArtsStreetfestCROP-300x300.jpg","Alpharetta Arts Streetfest","Family Festivals Free Holiday","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 27 – May 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27<br>Sun, May 28<br>Mon, May 29</td><td>10am – 5pm</td></tr></tbody></table></dd></dl>","Historic Downtown Alpharetta","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/historic-downtown-alpharetta/"">Historic Downtown Alpharetta</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/alpharetta-arts-streetfest/"">Alpharetta Arts Streetfest</a>","<td class=""thumb"">
	<a title=""Alpharetta Arts Streetfest"" href=""https://atlantaplanit.wabe.org/events/alpharetta-arts-streetfest/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/AlpharettaArtsStreetfestCROP-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/AlpharettaArtsStreetfestCROP-300x300.jpg 300w, /wp-content/uploads/2017/03/AlpharettaArtsStreetfestCROP-63x63.jpg 63w, /wp-content/uploads/2017/03/AlpharettaArtsStreetfestCROP.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/alpharetta-arts-streetfest/"">Alpharetta Arts Streetfest</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/holiday/"" rel=""tag"">Holiday</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 27 – May 29</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27<br>Sun, May 28<br>Mon, May 29</td><td>10am – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/historic-downtown-alpharetta/"">Historic Downtown Alpharetta</a></span></dd></dl>	</td>","May 27 – May 29","Sat, May 27Sun, May 28Mon, May 29","10am – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/IMG_0404-300x300.jpg","MotherWorks","Holiday","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 11 – May 14</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, May 11<br>Fri, May 12<br>Sun, May 14</td><td>7pm – 9pm</td></tr><tr><td>Sat, May 13</td><td>10am – 12pm<br>1pm – 3pm</td></tr><tr><td>Sun, May 14</td><td>4pm – 6pm</td></tr></tbody></table></dd></dl>","Atlanta","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/motherworks/"">MotherWorks</a>","<td class=""thumb"">
	<a title=""MotherWorks"" href=""https://atlantaplanit.wabe.org/events/motherworks/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/IMG_0404-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/IMG_0404-300x300.jpg 300w, /wp-content/uploads/2017/03/IMG_0404-63x63.jpg 63w, /wp-content/uploads/2017/03/IMG_0404.jpg 310w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/motherworks/"">MotherWorks</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/holiday/"" rel=""tag"">Holiday</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 11 – May 14</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, May 11<br>Fri, May 12<br>Sun, May 14</td><td>7pm – 9pm</td></tr><tr><td>Sat, May 13</td><td>10am – 12pm<br>1pm – 3pm</td></tr><tr><td>Sun, May 14</td><td>4pm – 6pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>	</td>","May 11 – May 14","Thu, May 11Fri, May 12Sun, May 14","7pm – 9pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_-300x300.jpg","Juneteenth Atlanta Parade & Music Festival","Family Festivals Free Holiday Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 16 – Jun 18</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd></dl>","Atlanta","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/juneteenth-atlanta-parade-music-festival/"">Juneteenth Atlanta Parade &amp; Music Festival</a>","<td class=""thumb"">
	<a title=""Juneteenth Atlanta Parade &amp; Music Festival"" href=""https://atlantaplanit.wabe.org/events/juneteenth-atlanta-parade-music-festival/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_-300x300.jpg 300w, /wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_-63x63.jpg 63w, /wp-content/uploads/2017/02/Juneteenth_Atlanta_Parade_.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/juneteenth-atlanta-parade-music-festival/"">Juneteenth Atlanta Parade &amp; Music Festival</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/family/"" rel=""tag"">Family</a> <a href=""/festivals/"" rel=""tag"">Festivals</a> <a href=""/free/"" rel=""tag"">Free</a> <a href=""/holiday/"" rel=""tag"">Holiday</a> <a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 16 – Jun 18</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>	</td>","Jun 16 – Jun 18","Every","10am – 10pm"
